estado,artigos
Acre,0
Alagoas,3
Amapá,1
Amazonas,6
Bahia,4
Ceará,9
Distrito Federal,6
Espírito Santo,4
Goiás,9
Maranhão,0
Mato Grosso,5
Mato Grosso do Sul,2
Minas Gerais,13
Pará,7
Paraíba,7
Pernambuco,0
Paraná,7
Piauí,0
Rio de Janeiro,5
Roraima,0
Rio Grande do Sul,12
Rio Grande do Norte,4
Rondônia,0
Santa Catarina,6
São Paulo,9
Sergipe,0
Tocantins,0
