estado,artigos
Acre,0
Alagoas,3
Amapá,1
Amazonas,13
Bahia,8
Ceará,14
Distrito Federal,12
Espírito Santo,5
Goiás,10
Maranhão,0
Mato Grosso,13
Mato Grosso do Sul,2
Minas Gerais,17
Pará,8
Paraíba,16
Paraná,18
Pernambuco,1
Piauí,0
Rio de Janeiro,9
Rio Grande do Norte,6
Rio Grande do Sul,19
Rondônia,0
Roraima,0
Santa Catarina,12
São Paulo,11
Sergipe,2
Tocantins,0
